Membership No  Date Joined  Active  
    18760      2019-8-21    no    
    35154      2018-4-16    no    
    14600      2018-6-14    no    
    75831      2016-4-6     no    
    27331      2019-11-1    no    
    91031      2018-9-4     no    
    48326      2017-3-16    no    
    48419      2018-5-24    no    
    64690      2017-7-25    no    
    40105      2017-3-9     no    
    16942      2020-2-5     no    
    94052      2015-12-24   no    
    20017      2018-1-18    no    
    39797      2018-7-4     no    
